进了吗,选手,层数,时间,视频
1,这账号即将注销,99,14:32,https://www.bilibili.com/video/BV1M142187Qh
1,Mizore12,99,16:04,
1,ysa冰糖,99,14:57,https://www.bilibili.com/video/BV1gi421a7Un
1,水色寻落黑,99,14:43,
1,SGZ-SSSSS,99,32:01,https://www.bilibili.com/video/BV1nz421B74X
1,a起名废,99,25:01,https://www.bilibili.com/video/BV1cE4m1d7cA
1,Chiiqiawa,99,15:47,https://www.bilibili.com/video/BV14b421J7NL
1,唯米、,99,24:15,https://www.bilibili.com/video/BV1dd8peZEkE
1,鱼慕鲸,99,22:39,https://www.bilibili.com/video/BV1cJ8JeoE1h
1,冷尘AI,99,20:18,https://www.bilibili.com/video/BV1X78ue7EGE
1,NullRain,10,14:50,https://www.bilibili.com/video/BV1E58sevEHQ
1,karkimira,99,33:15,https://www.bilibili.com/video/BV17T42167Vw
1,musria,11,24:06,https://www.bilibili.com/video/BV1YT42167fr
0,火星来客yang,99,19:38,
0,九天之枫,99,19:01,https://www.bilibili.com/video/BV1YT42167fr
0,刀把ROGER12,99,35:00,
0,创世纪神教教主,99,33:18,
0,大司无码,10,12:57,
0,miku嫁给我,5,7:01,
0,大份烤冷面I,99,21:29,
0,低等生物aU喵,11,21:25,
0,世界の会长,99,20:14,
0,忄亿,10,16:10,https://www.bilibili.com/video/BV1Mb42177jw
0,光耀解说,10,19:34,https://www.bilibili.com/video/BV1Mb42177jw
0,祤漱于灿,10,21:50,https://www.bilibili.com/video/BV1qi421h76b
0,季节日Protarians,11,20:31,
0,钢化玻璃我,8,14:09,
0,远古柱之男,7,17:22,
0,难受阿妈耶,7,18:49,
0,明妖血灵,10,11:49,
0,提刀走脸,10,24:53,
0,八分先生eqm,10,17:13,
0,叶子ui,10,33:53,
0,火华Sparks,10,15:53,
0,heitai-桑,11,22:22,
0,- 心命 -,11,33:55,
0,雷一雷金,10,22:22,
0,摇摇星光,5,18:17,
0,noiby,7,9:35,
0,浅溪白墨谈,7,15:24,
0,请dalao带带我,5,9:29,
0,清长唾溢,7,14:47,https://www.bilibili.com/video/BV1cE4m1d7cA
0,小音理盼你回家,5,7:00,
0,清扬如玉-,1,0:00,
0,JQY666,1,0:00,
2,（自己复盘）,99,14:32,
